id, cycle 60-year s,year start date,Year end date,Associated Element,Heavenly Stem,Earthly Branch,Associated  Animal in Chinese,Associated Animal
61,1,"Feb ÿ2,ÿ1984ÿ"," Feb 19, 1985",Yang Wood,?,?,?,Rat
62,2,"Feb 20,ÿ1985ÿ"," Feb ÿ8, 1986",Yin Wood,?,?,?,Ox
63,3,"Feb ÿ9,ÿ1986ÿ"," Jan 28, 1987",Yang Fire,?,?,?,Tiger
64,4,"Jan 29,ÿ1987ÿ"," Feb 16, 1988",Yin Fire,?,?,?,Rabbit
65,5,"Feb 17,ÿ1988ÿ"," Feb ÿ5, 1989",Yang Earth,?,?,?,Dragon
66,6,"Feb ÿ6,ÿ1989ÿ"," Jan 26, 1990",Yin Earth,?,?,?,Snake
67,7,"Jan 27,ÿ1990ÿ"," Feb 14, 1991",Yang Metal,?,?,?,Horse
68,8,"Feb 15,ÿ1991ÿ"," Feb ÿ3, 1992",Yin Metal,?,?,?,Goat
69,9,"Feb ÿ4,ÿ1992ÿ"," Jan 22, 1993",Yang Water,?,?,?,Monkey
70,10,"Jan 23,ÿ1993ÿ"," Feb ÿ9, 1994",Yin Water,?,?,?,Rooster
71,11,"Feb 10,ÿ1994ÿ"," Jan 30, 1995",Yang Wood,?,?,?,Dog
72,12,"Jan 31,ÿ1995ÿ"," Feb 18, 1996",Yin Wood,?,?,?,Pig
73,13,"Feb 19,ÿ1996ÿ"," Feb ÿ6, 1997",Yang Fire,?,?,?,Rat
74,14,"Feb ÿ7,ÿ1997ÿ"," Jan 27, 1998",Yin Fire,?,?,?,Ox
75,15,"Jan 28,ÿ1998ÿ"," Feb 15, 1999",Yang Earth,?,?,?,Tiger
76,16,"Feb 16,ÿ1999ÿ"," Feb ÿ4, 2000",Yin Earth,?,?,?,Rabbit
77,17,"Feb ÿ5,ÿ2000ÿ"," Jan 23, 2001",Yang Metal,?,?,?,Dragon
78,18,"Jan 24,ÿ2001ÿ"," Feb 11, 2002",Yin Metal,?,?,?,Snake
79,19,"Feb 12,ÿ2002ÿ"," Jan 31, 2003",Yang Water,?,?,?,Horse
80,20,"Feb ÿ1,ÿ2003ÿ"," Jan 21, 2004",Yin Water,?,?,?,Goat
81,21,"Jan 22,ÿ2004ÿ"," Feb ÿ8, 2005",Yang Wood,?,?,?,Monkey
82,22,"Feb ÿ9,ÿ2005ÿ"," Jan 28, 2006",Yin Wood,?,?,?,Rooster
83,23,"Jan 29,ÿ2006ÿ"," Feb 17, 2007",Yang Fire,?,?,?,Dog
84,24,"Feb 18,ÿ2007ÿ"," Feb ÿ6, 2008",Yin Fire,?,?,?,Pig
85,25,"Feb ÿ7,ÿ2008ÿ"," Jan 25, 2009",Yang Earth,?,?,?,Rat
86,26,"Jan 26,ÿ2009ÿ"," Feb 13, 2010",Yin Earth,?,?,?,Ox
87,27,"Feb 14,ÿ2010ÿ"," Feb ÿ2, 2011",Yang Metal,?,?,?,Tiger
88,28,"Feb ÿ3,ÿ2011ÿ"," Jan 22, 2012",Yin Metal,?,?,?,Rabbit
89,29,"Jan 23,ÿ2012ÿ"," Feb ÿ9, 2013",Yang Water,?,?,?,Dragon
90,30,"Feb 10,ÿ2013ÿ"," Jan 30, 2014",Yin Water,?,?,?,Snake
91,31,"Jan 31,ÿ2014ÿ"," Feb 18, 2015",Yang Wood,?,?,?,Horse
92,32,"Feb 19,ÿ2015ÿ"," Feb ÿ7, 2016",Yin Wood,?,?,?,Goat
93,33,"Feb ÿ8,ÿ2016ÿ"," Jan 27, 2017",Yang Fire,?,?,?,Monkey
94,34,"Jan 28,ÿ2017ÿ"," Feb 15, 2018",Yin Fire,?,?,?,Rooster
95,35,"Feb 16,ÿ2018ÿ"," Feb ÿ4, 2019",Yang Earth,?,?,?,Dog
96,36,"Feb ÿ5,ÿ2019ÿ"," Jan 24, 2020",Yin Earth,?,?,?,Pig
97,37,"Jan 25,ÿ2020ÿ"," Feb. 11, 2021",Yang Metal,?,?,?,Rat
98,38,"Feb 12,ÿ2021ÿ"," Jan 31, 2022",Yin Metal,?,?,?,Ox
99,39,"Feb ÿ1,ÿ2022ÿ"," Jan 21, 2023",Yang Water,?,?,?,Tiger
100,40,"Jan 22,ÿ2023ÿ"," Feb ÿ9, 2024",Yin Water,?,?,?,Rabbit
101,41,"Feb 10,ÿ2024ÿ"," Jan 28, 2025",Yang Wood,?,?,?,Dragon
102,42,"Jan 29,ÿ2025ÿ"," Feb 16, 2026",Yin Wood,?,?,?,Snake
103,43,"Feb 17,ÿ2026ÿ"," Feb ÿ5, 2027",Yang Fire,?,?,?,Horse
104,44,"Feb ÿ6,ÿ2027ÿ"," Jan 25, 2028",Yin Fire,?,?,?,Goat
105,45,"Jan 26,ÿ2028ÿ"," Feb 12, 2029",Yang Earth,?,?,?,Monkey
106,46,"Feb 13,ÿ2029ÿ"," Feb ÿ2, 2030",Yin Earth,?,?,?,Rooster
107,47,"Feb ÿ3,ÿ2030ÿ"," Jan 22, 2031",Yang Metal,?,?,?,Dog
